Smiles,Standard Value,Standardized Smiles,inchi_key,scaffold,MolWt,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,logP,fp
C[C@@H](O)[C@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccccc2)CSSC[C@H](C(=O)O)NC1=O,10.95,C[C@@H](O)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)C(N)Cc2ccccc2)CSSCC(C(=O)O)NC1=O,KDRDDUWNTUSPFR-UYRAFUGCSA-N,O=C1CNC(=O)CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2ccccc2)CSSCCN1,931.3720664040002,11,12,299.9599999999999,14,4,0.42130000000001355,[0 1 0 ... 0 0 0]
CCOc1cc(CN2CC3(CC(c4ccc(CC(=O)O)cc4)=NO3)C2)cc(OCC)c1-c1ccc(F)cc1.Cl,220.0,CCOc1cc(CN2CC3(CC(c4ccc(CC(=O)O)cc4)=NO3)C2)cc(OCC)c1-c1ccc(F)cc1,VWPLYMVJEDTYEN-UHFFFAOYSA-N,c1ccc(C2=NOC3(C2)CN(Cc2ccc(-c4ccccc4)cc2)C3)cc1,518.2217003119999,1,6,80.59,10,3,5.296200000000005,[0 0 0 ... 0 0 0]
CCOc1cc(CN2CC3(CC(c4ccccc4)=NO3)C2)cc(OCC)c1-c1ccc(F)cc1,2800.0,CCOc1cc(CN2CC3(CC(c4ccccc4)=NO3)C2)cc(OCC)c1-c1ccc(F)cc1,BTIWEAYDLVNWBP-UHFFFAOYSA-N,c1ccc(C2=NOC3(C2)CN(Cc2ccc(-c4ccccc4)cc2)C3)cc1,460.216221008,0,5,43.290000000000006,8,3,5.669100000000006,[0 0 0 ... 0 0 0]
O=C(O)c1ccc(N2CC3(CCN(Cc4cc(C(F)(F)F)c(Cl)cc4C4CC4)CC3)CC2=O)cc1,37.0,O=C(O)c1ccc(N2CC3(CCN(Cc4cc(C(F)(F)F)c(Cl)cc4C4CC4)CC3)CC2=O)cc1,ZWSMKWCCXXBHEW-UHFFFAOYSA-N,O=C1CC2(CCN(Cc3ccccc3C3CC3)CC2)CN1c1ccccc1,506.15840503199996,1,3,60.85,5,2,5.953500000000005,[0 0 0 ... 0 0 0]
CC1(C)CCOc2ccc(CN3CCC4(CC3)CN(c3ccc(C(=O)O)cc3)C(=O)O4)cc21,1.1,CC1(C)CCOc2ccc(CN3CCC4(CC3)CN(c3ccc(C(=O)O)cc3)C(=O)O4)cc21,DKWWEMHIIBBYKQ-UHFFFAOYSA-N,O=C1OC2(CCN(Cc3ccc4c(c3)CCCO4)CC2)CN1c1ccccc1,450.21547205999985,1,5,79.31000000000002,4,2,4.436300000000004,[0 0 0 ... 0 0 0]
C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(NC(N)=O)cc2)NC(=O)[C@H](NC(=O)[C@H](N)Cc2ccc(Cl)cc2)CSSC[C@@H](C(N)=O)NC1=O,461.0,C[C@@H](O)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(NC(N)=O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccc(Cl)cc2)CSSCC(C(N)=O)NC1=O,YRGDPKNQHDGATE-FSIOYVIGSA-N,O=C1CNC(=O)CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2ccccc2)CSSCCN1,1022.3657911480002,13,13,360.8699999999999,15,4,-0.033999999999991426,[0 1 0 ... 0 0 0]
C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(NC(N)=O)cc2)NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=O)CCOCCOCCOCCNC(=O)CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)CSSC[C@@H](C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(N)=O)NC1=O,895.0,C[C@@H](O)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(NC(N)=O)cc2)NC(=O)C(NC(=O)C(Cc2ccc(Cl)cc2)NC(=O)CCOCCOCCOCCNC(=O)CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)CSSCC(C(=O)NC(Cc2ccc3ccccc3c2)C(N)=O)NC1=O,KEQLKLNNERRVOU-AREDOFGFSA-N,O=C1CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)C(Cc2ccccc2)NC(=O)CCOCCOCCOCCNC(=O)CN2CCNCCNCCNCC2)CSSCC(C(=O)NCCc2ccc3ccccc3c2)NC(=O)CN1,1808.745762315999,18,25,574.7,40,6,-0.9643000000000201,[0 1 0 ... 0 0 0]
CNCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](NC(=O)[C@H](N)Cc2ccc(Cl)cc2)CSSC[C@@H](C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(N)=O)NC(=O)[C@H]([C@@H](C)O)NC1=O,53.0,CNCCCCC1NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccc(Cl)cc2)CSSCC(C(=O)NC(Cc2ccc3ccccc3c2)C(N)=O)NC(=O)C([C@@H](C)O)NC1=O,QIRVFTJJSHEARZ-IRGJAIPRSA-N,O=C1CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2ccccc2)CSSCC(C(=O)NCCc2ccc3ccccc3c2)NC(=O)CN1,1191.4437071199995,13,14,341.09,19,6,2.3224000000000093,[0 1 0 ... 0 0 0]
CCOc1cc(CN2CCC3(CC2)CCN(S(=O)(=O)c2cccnc2)CC3)cc(OCC)c1-c1ccc(F)cc1,13.0,CCOc1cc(CN2CCC3(CC2)CCN(S(=O)(=O)c2cccnc2)CC3)cc(OCC)c1-c1ccc(F)cc1,CDOLWFQFQZOXNZ-UHFFFAOYSA-N,O=S(=O)(c1cccnc1)N1CCC2(CCN(Cc3ccc(-c4ccccc4)cc3)CC2)CC1,567.256705916,0,6,71.97,9,3,5.752000000000007,[0 0 0 ... 0 0 0]
CCOc1cc(CN2CC[C@H]3C(Nc4nc5ccc(C(=O)O)cc5o4)CC[C@H]32)cc(OCC)c1-c1ccc(F)cc1,4.5,CCOc1cc(CN2CC[C@H]3C(Nc4nc5ccc(C(=O)O)cc5o4)CC[C@H]32)cc(OCC)c1-c1ccc(F)cc1,VOZUDWOEAFDHSE-JNOFKKGSSA-N,c1ccc(-c2ccc(CN3CC[C@H]4C(Nc5nc6ccccc6o5)CC[C@H]43)cc2)cc1,559.248249408,2,7,97.06,10,4,6.594500000000006,[0 0 0 ... 0 0 0]
CCOc1cc(CN2CCC(c3ncc(-c4ccc(F)cc4)[nH]3)CC2)cc(OCC)c1-c1ccc(F)cc1,247.0,CCOc1cc(CN2CCC(c3nc(-c4ccc(F)cc4)c[nH]3)CC2)cc(OCC)c1-c1ccc(F)cc1,GOBNHYGEALNGCV-UHFFFAOYSA-N,c1ccc(-c2ccc(CN3CCC(c4nc(-c5ccccc5)c[nH]4)CC3)cc2)cc1,517.254083736,1,4,50.379999999999995,9,4,7.198900000000007,[0 0 0 ... 0 0 0]
CCOc1cc(CN2CCC(Oc3nccc(Cl)n3)CC2)cc(OCC)c1-c1ccc(F)cc1,73.0,CCOc1cc(CN2CCC(Oc3nccc(Cl)n3)CC2)cc(OCC)c1-c1ccc(F)cc1,JJJIXIANJCZSID-UHFFFAOYSA-N,c1ccc(-c2ccc(CN3CCC(Oc4ncccn4)CC3)cc2)cc1,485.188147688,0,6,56.71000000000001,9,3,5.776900000000006,[0 0 0 ... 0 0 0]
